"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Rwanda","Overview","19.2%","21.358%","23.8%","24.4416%","31.2252%","34.2005%","-","-"
"Rwanda","Female","-","-","-","-","-","-","-","-"
"Rwanda","Male","-","-","-","-","-","-","-","-"
"Samoa","Overview","43.1336%","47.2211%","51.6959%","56.5947%","57.3288%","58.1386%","-","-"
"Samoa","Female","-","-","-","-","-","-","-","-"
"Samoa","Male","-","-","-","-","-","-","-","-"
"Sao Tome and Principe","Overview","38%","44.3%","51.5547%","61.5241%","61.5535%","61.4607%","-","-"
"Sao Tome and Principe","Female","-","-","-","-","-","-","-","-"
"Sao Tome and Principe","Male","-","-","-","-","-","-","-","-"
"Senegal","Overview","35.3%","43.4%","53.3088%","57.2554%","59.2246%","60.6122%","-","-"
"Senegal","Female","-","-","-","-","-","-","-","-"
"Senegal","Male","-","-","-","-","-","-","-","-"
"Seychelles","Overview","69.2%","76.6%","84.8223%","87.3383%","87.0353%","87.4009%","-","-"
"Seychelles","Female","-","-","-","-","-","-","-","-"
"Seychelles","Male","-","-","-","-","-","-","-","-"
"Sierra Leone","Overview","14.4223%","15.7137%","17.1208%","18.6539%","19.2287%","20.635%","-","-"
"Sierra Leone","Female","-","-","-","-","-","-","-","-"
"Sierra Leone","Male","-","-","-","-","-","-","-","-"
"Singapore","Overview","88.1656%","88.9493%","92.0043%","96.9247%","95.9539%","94.2852%","94.3776%","-"
"Singapore","Female","87.5644%","87.8058%","90.9017%","96.761%","95.028%","93.97%","93.8107%","-"
"Singapore","Male","88.7923%","90.157%","93.1594%","97.1014%","96.8965%","94.593%","94.959%","-"
"Solomon Islands","Overview","20.9%","26.3406%","33.1974%","41.8392%","42.094%","42.4597%","-","-"
"Solomon Islands","Female","-","-","-","-","-","-","-","-"
"Solomon Islands","Male","-","-","-","-","-","-","-","-"
"South Africa","Overview","62.4%","69.6969%","72.1128%","74.9686%","75.4556%","75.6592%","-","-"
"South Africa","Female","-","-","-","-","-","-","-","-"
"South Africa","Male","-","-","-","-","-","-","-","-"
"South Sudan","Overview","4.8%","6.7%","9.27123%","-","-","-","-","-"
"South Sudan","Female","-","-","-","-","-","-","-","-"
"South Sudan","Male","-","-","-","-","-","-","-","-"
"Sri Lanka","Overview","28.3%","32%","36.1847%","44.4531%","48.3%","51.2%","-","-"
"Sri Lanka","Female","-","-","32.4864%","41.3885%","-","-","-","-"
"Sri Lanka","Male","-","-","40.2566%","47.8577%","-","-","-","-"
"Tanzania","Overview","15.4907%","16.5909%","17.7693%","19.0314%","22.101%","29.0638%","-","-"
"Tanzania","Female","-","-","-","-","-","-","-","-"
"Tanzania","Male","-","-","-","-","-","-","-","-"
"Thailand","Overview","56.8175%","66.6524%","77.8437%","85.2696%","87.9772%","89.5353%","90.8672%","-"
"Thailand","Female","55.9048%","65.573%","76.7992%","84.2707%","86.7384%","88.6092%","89.9092%","-"
"Thailand","Male","57.7825%","67.7957%","78.9512%","86.3296%","89.3177%","90.5384%","91.9062%","-"
"Timor-Leste","Overview","27.6%","28.0046%","32.0127%","35.042%","34.5102%","34.0207%","-","-"
"Timor-Leste","Female","-","-","-","-","-","-","-","-"
"Timor-Leste","Male","-","-","-","-","-","-","-","-"
"Togo","Overview","15.5%","20.7273%","29.0237%","30.3384%","35.5105%","37.0223%","-","-"
"Togo","Female","-","-","-","-","-","-","-","-"
"Togo","Male","-","-","-","-","-","-","-","-"
"Tonga","Overview","-","-","-","57.5486%","57.7181%","58.5334%","-","-"
"Tonga","Female","-","-","-","-","-","-","-","-"
"Tonga","Male","-","-","-","-","-","-","-","-"
"Tuvalu","Overview","42.2865%","50.7996%","61.0265%","73.3124%","73.5846%","74.3146%","-","-"
"Tuvalu","Female","-","-","-","-","-","-","-","-"
"Tuvalu","Male","-","-","-","-","-","-","-","-"
"Uganda","Overview","-","-","7.4%","10%","11.1246%","15.2524%","8.94983%","-"
"Uganda","Female","-","-","-","-","-","-","7.58792%","-"
"Uganda","Male","-","-","-","-","-","-","10.5867%","-"
"Vanuatu","Overview","33.989%","37.5081%","41.3916%","45.6772%","45.6747%","45.7313%","-","-"
"Vanuatu","Female","-","-","-","-","-","-","-","-"
"Vanuatu","Male","-","-","-","-","-","-","-","-"
"Viet Nam","Overview","69.8479%","68.6616%","70.3%","74.21%","78.59%","78.08%","84.15%","-"
"Viet Nam","Female","-","65.5048%","66.8778%","71.4934%","75.5952%","75.8894%","82.2272%","-"
"Viet Nam","Male","-","71.8479%","73.75%","76.9435%","81.6%","80.32%","86.08%","-"
"Zambia","Overview","14.3%","-","-","-","15%","-","-","-"
"Zambia","Female","13.1725%","-","-","-","-","-","-","-"
"Zambia","Male","15.5215%","-","-","-","-","-","-","-"
"Zimbabwe","Overview","25%","26.5883%","29.2986%","37.0967%","37.8861%","38.4266%","-","-"
"Zimbabwe","Female","-","-","29.6914%","-","-","-","-","-"
"Zimbabwe","Male","-","-","28.8779%","-","-","-","-","-"
