"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Malaysia","15 to 24 years","-","-","-","99.5077%","99.3591%","99.334%","98.7831%","-"
"Malaysia","25 to 74 years","-","-","-","97.3023%","97.9909%","98.283%","98.4453%","-"
"Malaysia","75 years and older","-","-","-","65.1903%","59.0309%","59.654%","76.1562%","-"
"Maldives","Overview","70.9%","77.4697%","79.0978%","81.9576%","83.9119%","84.6851%","-","-"
"Maldives","14 years and younger","-","-","-","-","99.0203%","-","-","-"
"Maldives","15 to 24 years","-","-","-","-","84.5518%","-","-","-"
"Maldives","25 to 74 years","-","-","-","-","78.9976%","-","-","-"
"Maldives","75 years and older","-","-","-","-","89.2537%","-","-","-"
"Mali","Overview","21.4%","24.9603%","29.113%","33.9565%","34.3797%","35.0921%","-","-"
"Mali","14 years and younger","-","-","-","-","-","-","-","-"
"Mali","15 to 24 years","-","-","-","-","-","-","-","-"
"Mali","25 to 74 years","-","-","-","-","-","-","-","-"
"Mali","75 years and older","-","-","-","-","-","-","-","-"
"Marshall Islands","Overview","43.8825%","49.7575%","56.4191%","63.9726%","64.8023%","65.7177%","-","-"
"Marshall Islands","14 years and younger","-","-","-","-","-","-","-","-"
"Marshall Islands","15 to 24 years","-","-","-","-","-","-","-","-"
"Marshall Islands","25 to 74 years","-","-","-","-","-","-","-","-"
"Marshall Islands","75 years and older","-","-","-","-","-","-","-","-"
"Mauritius","Overview","58.5962%","61.73%","67.7329%","71.6%","75.5%","79.5%","-","-"
"Mauritius","14 years and younger","61.9974%","-","68.9833%","-","-","-","-","-"
"Mauritius","15 to 24 years","88.6085%","-","89.682%","-","-","-","-","-"
"Mauritius","25 to 74 years","53.5807%","-","61.6468%","-","-","-","-","-"
"Mauritius","75 years and older","6.34379%","-","8.54432%","-","-","-","-","-"
"Micronesia","Overview","36.6%","38%","39.3833%","-","-","-","-","-"
"Micronesia","14 years and younger","-","-","-","-","-","-","-","-"
"Micronesia","15 to 24 years","-","-","-","-","-","-","-","-"
"Micronesia","25 to 74 years","-","-","-","-","-","-","-","-"
"Micronesia","75 years and older","-","-","-","-","-","-","-","-"
"Mongolia","Overview","47.13%","51.08%","62.5%","81.6068%","82.1725%","83.0162%","-","-"
"Mongolia","14 years and younger","-","-","-","-","-","-","-","-"
"Mongolia","15 to 24 years","-","-","-","-","-","-","-","-"
"Mongolia","25 to 74 years","-","-","-","-","-","-","-","-"
"Mongolia","75 years and older","-","-","-","-","-","-","-","-"
"Mozambique","Overview","10.9%","12.4793%","14.2874%","16.3576%","18.7913%","19.8434%","-","-"
"Mozambique","14 years and younger","-","-","-","-","-","-","-","-"
"Mozambique","15 to 24 years","-","-","-","-","-","-","-","-"
"Mozambique","25 to 74 years","-","-","-","-","-","-","-","-"
"Mozambique","75 years and older","-","-","-","-","-","-","-","-"
"Myanmar","Overview","29.379%","36.5405%","45.4477%","56.5261%","58.0112%","58.5357%","-","-"
"Myanmar","14 years and younger","-","-","-","-","-","-","-","-"
"Myanmar","15 to 24 years","-","-","-","-","-","-","-","-"
"Myanmar","25 to 74 years","-","-","-","-","-","-","-","-"
"Myanmar","75 years and older","-","-","-","-","-","-","-","-"
"Namibia","Overview","42.8%","49.8%","57.8608%","60.26%","61.1485%","64.4061%","-","-"
"Namibia","14 years and younger","-","-","-","-","-","-","-","-"
"Namibia","15 to 24 years","-","-","-","-","-","-","-","-"
"Namibia","25 to 74 years","-","-","-","-","-","-","-","-"
"Namibia","75 years and older","-","-","-","-","-","-","-","-"
"Nauru","Overview","-","74.7379%","81.6554%","-","-","-","-","-"
"Nauru","14 years and younger","-","-","-","-","-","-","-","-"
"Nauru","15 to 24 years","-","-","-","-","-","-","-","-"
"Nauru","25 to 74 years","-","-","-","-","-","-","-","-"
"Nauru","75 years and older","-","-","-","-","-","-","-","-"
"Nepal (Republic of)","Overview","28.6%","33.3366%","38.8576%","45.293%","53.8878%","55.7716%","-","-"
"Nepal (Republic of)","14 years and younger","-","-","-","-","-","-","-","-"
"Nepal (Republic of)","15 to 24 years","-","-","-","-","-","-","-","-"
"Nepal (Republic of)","25 to 74 years","-","-","-","-","-","-","-","-"
"Nepal (Republic of)","75 years and older","-","-","-","-","-","-","-","-"
"New Zealand","Overview","89%","89.8637%","95.2342%","96.1151%","96.1942%","96.1638%","-","-"
"New Zealand","14 years and younger","-","-","-","-","-","-","-","-"
"New Zealand","15 to 24 years","-","-","-","-","-","-","-","-"
"New Zealand","25 to 74 years","-","-","-","-","-","-","-","-"
"New Zealand","75 years and older","-","-","-","-","-","-","-","-"
"Niger","Overview","-","16.6119%","17.0375%","17.474%","23.2982%","23.1879%","-","-"
"Niger","14 years and younger","-","-","-","-","-","-","-","-"
"Niger","15 to 24 years","-","-","-","-","-","-","-","-"
"Niger","25 to 74 years","-","-","-","-","-","-","-","-"
"Niger","75 years and older","-","-","-","-","-","-","-","-"
"Nigeria","Overview","27.7%","29.7%","31.8888%","35.5098%","37.6975%","39.2136%","-","-"
"Nigeria","14 years and younger","-","-","-","-","-","-","-","-"
"Nigeria","15 to 24 years","-","-","-","-","-","-","-","-"
"Nigeria","25 to 74 years","-","-","-","-","-","-","-","-"
"Nigeria","75 years and older","-","-","-","-","-","-","-","-"
"Pakistan","Overview","15.34%","17.0709%","18.9348%","21.4107%","24.2103%","27.3759%","-","-"
"Pakistan","14 years and younger","-","-","2.25306%","-","-","-","-","-"
"Pakistan","15 to 24 years","-","-","8.76219%","-","-","-","-","-"
"Pakistan","25 to 74 years","-","-","5.58301%","-","-","-","-","-"
"Pakistan","75 years and older","-","-","1.49325%","-","-","-","-","-"
"Papua New Guinea","Overview","-","19.9783%","24.3969%","23.2437%","23.7315%","24.0667%","-","-"
"Papua New Guinea","14 years and younger","-","-","-","-","-","-","-","-"
"Papua New Guinea","15 to 24 years","-","-","-","-","-","-","-","-"
"Papua New Guinea","25 to 74 years","-","-","-","-","-","-","-","-"
"Papua New Guinea","75 years and older","-","-","-","-","-","-","-","-"
"Philippines","Overview","44.1%","43.0266%","53.7649%","66.9078%","75.2111%","83.7661%","-","-"
"Philippines","14 years and younger","-","-","-","-","-","-","-","-"
"Philippines","15 to 24 years","-","-","-","-","-","-","-","-"
"Philippines","25 to 74 years","-","-","-","-","-","-","-","-"
"Philippines","75 years and older","-","-","-","-","-","-","-","-"
"Rwanda","Overview","19.2%","21.358%","23.8%","24.4416%","31.2252%","34.2005%","-","-"
"Rwanda","14 years and younger","-","-","-","-","-","-","-","-"
"Rwanda","15 to 24 years","-","-","-","-","-","-","-","-"
"Rwanda","25 to 74 years","-","-","-","-","-","-","-","-"
"Rwanda","75 years and older","-","-","-","-","-","-","-","-"
"Samoa","Overview","43.1336%","47.2211%","51.6959%","56.5947%","57.3288%","58.1386%","-","-"
"Samoa","14 years and younger","-","-","-","-","-","-","-","-"
"Samoa","15 to 24 years","-","-","-","-","-","-","-","-"
"Samoa","25 to 74 years","-","-","-","-","-","-","-","-"
"Samoa","75 years and older","-","-","-","-","-","-","-","-"
"Sao Tome and Principe","Overview","38%","44.3%","51.5547%","61.5241%","61.5535%","61.4607%","-","-"
"Sao Tome and Principe","14 years and younger","-","-","-","-","-","-","-","-"
"Sao Tome and Principe","15 to 24 years","-","-","-","-","-","-","-","-"
"Sao Tome and Principe","25 to 74 years","-","-","-","-","-","-","-","-"
"Sao Tome and Principe","75 years and older","-","-","-","-","-","-","-","-"
"Senegal","Overview","35.3%","43.4%","53.3088%","57.2554%","59.2246%","60.6122%","-","-"
"Senegal","14 years and younger","-","-","-","-","-","-","-","-"
"Senegal","15 to 24 years","-","-","-","-","-","-","-","-"
"Senegal","25 to 74 years","-","-","-","-","-","-","-","-"
"Senegal","75 years and older","-","-","-","-","-","-","-","-"
"Seychelles","Overview","69.2%","76.6%","84.8223%","87.3383%","87.0353%","87.4009%","-","-"
"Seychelles","14 years and younger","-","-","-","-","-","-","-","-"
"Seychelles","15 to 24 years","-","-","-","-","-","-","-","-"
"Seychelles","25 to 74 years","-","-","-","-","-","-","-","-"
"Seychelles","75 years and older","-","-","-","-","-","-","-","-"
"Sierra Leone","Overview","14.4223%","15.7137%","17.1208%","18.6539%","19.2287%","20.635%","-","-"
"Sierra Leone","14 years and younger","-","-","-","-","-","-","-","-"
"Sierra Leone","15 to 24 years","-","-","-","-","-","-","-","-"
"Sierra Leone","25 to 74 years","-","-","-","-","-","-","-","-"
"Sierra Leone","75 years and older","-","-","-","-","-","-","-","-"
"Singapore","Overview","88.1656%","88.9493%","92.0043%","96.9247%","95.9539%","94.2852%","94.3776%","-"
"Singapore","14 years and younger","-","-","-","-","-","-","-","-"
